epoch_idx	precision@1	recall@1	ndcg@1	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
5.0	0.06986582859905717	0.06986582859905717	0.06986582859905717	0.0332164879103432	0.16608243684274146	0.11753302106490474	0.024646440526961588	0.24646440227245256	0.1434638812419961
10.0	0.07639308594222169	0.07639308594222169	0.07639308594222169	0.042741449052443405	0.21370724042064548	0.14608438357696998	0.027124381160470952	0.2712438051492808	0.16469023971092367
15.0	0.1386437809742536	0.1386437809742536	0.1386437809742536	0.05311253580060876	0.26556267375800796	0.20341785479745308	0.03517466632944921	0.35174664571497644	0.23136393488927648
20.0	0.14976429348483017	0.14976429348483017	0.14976429348483017	0.04960715714524623	0.24803577904025143	0.19910301767771021	0.03615375471766419	0.3615375317297232	0.23527851434508237
25.0	0.14275353559772755	0.14275353559772755	0.14275353559772755	0.07119545826496358	0.3559772754744349	0.25217923272564563	0.04479632846795848	0.4479632539586607	0.2822365241155429
30.0	0.15230267134050526	0.15230267134050526	0.15230267134050526	0.07366131208805511	0.36830653934485674	0.2630643148868258	0.04463919099867452	0.4463918771908618	0.2885895693630685
35.0	0.1666868125226641	0.1666868125226641	0.1666868125226641	0.07484588780974327	0.37422942100809864	0.2747166382021309	0.04579959266724385	0.4579958902453765	0.3020013438897931
40.0	0.17031306660219991	0.17031306660219991	0.17031306660219991	0.07516016378579081	0.3758007977758975	0.27828548465939584	0.04538861713573115	0.45388613562190255	0.30349927221943374
45.0	0.18759821104798743	0.18759821104798743	0.18759821104798743	0.0688021303188638	0.34401063701196666	0.27206897386117196	0.040021760049010945	0.40021757524477214	0.2898906568754603
50.0	0.19908134896651758	0.19908134896651758	0.19908134896651758	0.07213828486743781	0.3606914057778315	0.28480305548513307	0.04231838855492107	0.4231838510818325	0.30483548635836283
