epoch_idx	precision@1	recall@1	ndcg@1	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
5.0	0.1886860877275467	0.1886860877275467	0.18868608727184819	0.09474194794893265	0.47370967268943787	0.3371512449444409	0.060679323971271515	0.6067931652069092	0.38002024483106595
10.0	0.301583468914032	0.301583468914032	0.3015834642813973	0.13351869583129883	0.6675933599472046	0.49125606205376343	0.08179622143507004	0.8179620504379272	0.5402040947099168
15.0	0.3453402519226074	0.3453402519226074	0.34534026350779645	0.145896315574646	0.7294814586639404	0.5464309307835484	0.08642573654651642	0.8642572164535522	0.5904564518870388
20.0	0.3719328045845032	0.3719328045845032	0.3719327934243926	0.15174667537212372	0.7587332129478455	0.5774750848269985	0.08822678029537201	0.8822675943374634	0.6177460278699867
25.0	0.40372294187545776	0.40372294187545776	0.40372295418832344	0.15503448247909546	0.775172233581543	0.6012904600362082	0.08886741101741791	0.8886740207672119	0.6382196698251889
30.0	0.40952494740486145	0.40952494740486145	0.4095249607155808	0.15515534579753876	0.7757766246795654	0.6049503166960862	0.0888553261756897	0.8885531425476074	0.6415178248893337
35.0	0.4137555956840515	0.4137555956840515	0.4137555904750393	0.15648497641086578	0.7824247479438782	0.6109335045154761	0.0897618979215622	0.8976187705993652	0.6484304428574469
40.0	0.42789798974990845	0.42789798974990845	0.42789798138522905	0.15699264407157898	0.7849631309509277	0.6184253916085477	0.09022121876478195	0.9022120237350464	0.6568008209943872
45.0	0.4199202358722687	0.4199202358722687	0.41992022241025023	0.1557113528251648	0.778556764125824	0.6110022242057304	0.08945970982313156	0.8945968747138977	0.6487252510527637
50.0	0.4254804849624634	0.4254804849624634	0.4254804786655385	0.15887829661369324	0.794391393661499	0.6225860319631658	0.09060801565647125	0.9060800075531006	0.6590057673579365
