epoch_idx	precision@1	recall@1	ndcg@1	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
5.0	0.11301825195550919	0.11301825195550919	0.11301825214553367	0.04803578183054924	0.2401788979768753	0.17840978493053977	0.030569322407245636	0.30569320917129517	0.19948996051579418
10.0	0.12401788681745529	0.12401788681745529	0.12401788952012571	0.048495102673769	0.24247552454471588	0.1850232956875254	0.03182642534375191	0.3182642459869385	0.20941627964780662
15.0	0.12305089086294174	0.12305089086294174	0.12305088843224948	0.05113018676638603	0.25565090775489807	0.19083549100681454	0.03273298963904381	0.3273298740386963	0.21386153877839295
20.0	0.11845763027667999	0.11845763027667999	0.11845763326483742	0.04970386251807213	0.24851928651332855	0.18558635438013651	0.03164511173963547	0.3164511024951935	0.20735228834463088
25.0	0.11894113570451736	0.11894113570451736	0.11894113380877554	0.050018131732940674	0.25009065866470337	0.1863952657722076	0.03198356181383133	0.3198356032371521	0.2087828047440425
30.0	0.11434787511825562	0.11434787511825562	0.11434787864136348	0.04970385879278183	0.24851928651332855	0.18278266285467537	0.03185059875249863	0.3185059726238251	0.2051789862879653
35.0	0.11869938671588898	0.11869938671588898	0.11869938353680648	0.05052580684423447	0.25262904167175293	0.18757506312192132	0.0319472998380661	0.319472998380661	0.20900394666845337
40.0	0.11434787511825562	0.11434787511825562	0.11434787864136348	0.05139610543847084	0.2569805383682251	0.18722049526034737	0.03336154296994209	0.33361536264419556	0.21199205416944902
45.0	0.12123776227235794	0.12123776227235794	0.12123776139248156	0.05197630822658539	0.25988155603408813	0.1925000309994505	0.0333736278116703	0.33373624086380005	0.21628840660722615
50.0	0.12232563644647598	0.12232563644647598	0.12232563761634231	0.05359603837132454	0.2679801881313324	0.19723466962960107	0.03473951667547226	0.3473951518535614	0.2228306631537576
