epoch_idx	precision@1	recall@1	ndcg@1	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
5.0	0.3506587694911157	0.3506587694911157	0.3506587694911157	0.13837787298946963	0.6918892783754381	0.5291239862864852	0.08417745791019904	0.8417744469962529	0.5779160116587331
10.0	0.36625166203311976	0.36625166203311976	0.36625166203311976	0.14253597981146193	0.712679801764777	0.5475846631558885	0.0859784973902583	0.8597848422579475	0.5954834765752423
15.0	0.37942705185543335	0.37942705185543335	0.37942705185543335	0.14558203344576798	0.7279100688988275	0.5608447264752612	0.0861114597977627	0.8611144687537774	0.6043144676189651
20.0	0.3825698053910311	0.3825698053910311	0.3825698053910311	0.14705671065810166	0.7352834521938837	0.5665954359708367	0.08624442266636916	0.8624440952496072	0.6080820953312785
25.0	0.3884926870542729	0.3884926870542729	0.3884926870542729	0.14836216099703456	0.7418107095370482	0.5729268744920631	0.08747734954909606	0.874773359120029	0.6163779928777362
30.0	0.38728393569442765	0.38728393569442765	0.38728393569442765	0.15097306559426774	0.7548652242233772	0.5796088183677528	0.08814216256645993	0.881421491599178	0.6208190706849802
35.0	0.39900882388492687	0.39900882388492687	0.39900882388492687	0.15085218942080358	0.7542608485434547	0.5849143218337705	0.08826303793299549	0.8826302429590234	0.6268223888943631
40.0	0.39683307143720536	0.39683307143720536	0.39683307143720536	0.15191589075579806	0.7595793545267738	0.5866408558045385	0.08856522600350783	0.8856521213586366	0.6278989079104248
45.0	0.403843829324308	0.403843829324308	0.403843829324308	0.151867541093341	0.7593376042548048	0.5894603318460194	0.08823886206428734	0.8823884926870543	0.6298491787353363
50.0	0.4101293363955034	0.4101293363955034	0.4101293363955034	0.15242356618860245	0.762117732382449	0.594092125432402	0.08846852541056305	0.8846851202707603	0.634291505227761
