BE375BAAXPvAibaEXe9JDlHA4z2GHJ3/PVStCxR2,8,{'relationship': 'enrolled_in'}
8,A71E7B7EXPvAibaEXe+gsTDvgY5pDvugtLkA9WY2,{'relationship': 'has_status'}
8,9CB66503XPvAibaEXe9E+KuE/nFliVHlSAEdjpcv,{'relationship': 'enrolled_in'}
8,A406E7FDXPvAibaEXe/XBbLEWRhgQYQrAzwms21C,{'relationship': 'enrolled_in'}
8,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,{'relationship': 'enrolled_in'}
8,62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU,{'relationship': 'enrolled_in'}
8,0CBE4487XPvAibaEXe+fmxcqgvribAaiAPDGKOrx,{'relationship': 'enrolled_in'}
8,2441A7C2XPvAibaEXe8VekUw4ELehn5inKXOCKf2,{'relationship': 'enrolled_in'}
8,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey,{'relationship': 'enrolled_in'}
8,52E66659XPvAibaEXe/7sxkigC7f5zukR2WlNRO3,{'relationship': 'enrolled_in'}
8,516D213CXPvAibaEXe9JdUmjPcaT8sQIfWYBArTw,{'relationship': 'enrolled_in'}
8,41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx,{'relationship': 'enrolled_in'}
8,6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx,{'relationship': 'enrolled_in'}
8,B5953D10XPvAibaEXe+BHZkA9XgGXWnkm2L+acxT,{'relationship': 'enrolled_in'}
8,BAA21E56XPvAibaEXe9Xnw4t0GPgx5ergjwY9IdE,{'relationship': 'enrolled_in'}
8,B3078280XPvAibaEXe9KDsVv3cRkMR3THeDfuZST,{'relationship': 'enrolled_in'}
8,2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,{'relationship': 'enrolled_in'}
8,AA971F36XPvAibaEXe+fmxcqgvribA5vxtc+V0/y,{'relationship': 'enrolled_in'}
8,CD84523EXPvAibaEXe+LLvbxzunmJA9YRcwSMo7A,{'relationship': 'enrolled_in'}
8,CD52678BXPvAibaEXe97hU2RTHdNnHA5E5DKdC+D,{'relationship': 'enrolled_in'}
8,55D02CB4XPvAibaEXe9M021iVaAwIAQL8BalJRN4,{'relationship': 'enrolled_in'}
