Số TT,Mã MH,Tên MH (Tiếng Việt),Tên MH (Tiếng Anh),Còn mở lớp,Đơn vị quản lý chuyên môn,Loại MH,Mã cũ,Mã môn học tương đương,Mã môn học tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
625,MM004,Nguyên lý thiết kế đồ hoạ,Principles of Graphic Design,,P.ĐTĐH,TC,,,,,0,2
626,MSIS207,Phát triển ứng dụng web,Web Applications Development,,HTTT,CN,,,,CS5423CS2133,3,1
627,MSIS2433,Lập trình hướng đối tượng,Object Oriented Programming,,HTTT,CSN,,,,CS2134,3,0
628,MSIS3033,Quản lý dự án hệ thống thông tin,Information systems project management,,HTTT,CSN,,,,,3,0
629,MSIS3233,Management Science Methods,Management Science Methods,,HTTT,CN,,,,MATH2153,3,0
630,MSIS3242,Sofware Quality Management,Sofware Quality Management,,HTTT,CN,,,,,3,0
631,MSIS3243,Managerial Decision Theory,Managerial Decision Theory,,HTTT,CN,,,,MATH2153,3,0
632,MSIS3303,Phân tích thiết kế hệ thống,System analysis and design,,HTTT,CN,IS3303,,,CS5423,3,1
633,MSIS4013,"Thiết kế, quản lý và quản trị hệ CSDL","Database system design, management and administration",,HTTT,CN,,,,CS5423,3,0
634,MSIS402,Điện toán đám mây,Cloud Computing,,HTTT,CN,,,,,3,0
635,MSIS405,Dữ liệu lớn,Big data,,HTTT,CN,,,,,3,0
636,MSIS406,Dữ liệu lớn trên nền điện toán đám mây,Big Data in Cloud Computing,,HTTT,CN,,,,,3,1
637,MSIS4133,Công nghệ thông tin trong thương mại điện tử,Information Technologies for e-commerce,,HTTT,CN,,,,,3,0
638,MSIS4243,Control and Audit of Information Systems,Control and Audit of Information Systems,,HTTT,CN,,,,,3,0
639,MSIS4263,Các ứng dụng thông minh và hỗ trợ ra quyết định,Decision-support and intelligence applications,,HTTT,CN,IS4263,,,MSIS4013,3,0
640,MSIS4363,Các chủ đề nâng cao trong phát triển hệ thống,Advanced topics in systems development,,HTTT,CNTC,,,,,3,0
641,MSIS4443,Các hệ thống mô phỏng trên máy tính,Computer based simulation systems,,HTTT,CN,,,,,3,0
642,MSIS4523,Hệ truyền thông dữ liệu,Data communication systems,,HTTT,CN,IS4523,ACCT5123,,,3,0
643,MSIS4800,Hệ thống thông tin tính toán,Accounting information system,,HTTT,CNTC,,,,,3,0
644,MSIS4801,Quản lý thông tin địa lý,Geospatial information management,,HTTT,CNTC,IS4801,,,,3,1
645,MSIS5723,Phân tích thiết kế hệ thống thông tin,System Analysis and Design,,HTTT,CN,,,,,3,1
646,NHJP1,Tiếng Nhật Sơ cấp 1,Japanese for beginners 1,,PĐTĐH,BT,,,,,0,0
647,NHJP2,Tiếng Nhật Sơ cấp 2,Japanese for beginners 2,,PĐTĐH,BT,,,,,0,0
648,NNH050,Ngôn ngữ quảng cáo,The language of advertising,,PĐTĐH,CN,,,,,2,0
649,NT005,Giới thiệu ngành Mạng máy tính và Truyền thông dữ liệu,Introduction to IT programs Computer Networks and Data communications,,MMT&TT,ĐC,,CS005IE005IS005SE005CE005NT015EC005DS005AI001,,,1,0
650,NT015,Giới thiệu ngành An toàn Thông tin,Introduction to Information Security programs,,MMT&TT,ĐC,,CS005IE005IS005SE005CE005NT005EC005DS005AI001,,,1,0
651,NT101,An toàn mạng máy tính,Network security,,MMT&TT,CSN,,NT140,,IT005,3,1
652,NT102,Điện tử cho công nghệ thông tin,Electronics for information technology,,MMT&TT,CSN,,PH002,,,3,1
653,NT103,Hệ điều hành Linux,Linux operating systems,,MMT&TT,CNTC,NT309,NT131,,,3,1
654,NT104,Lý thuyết thông tin,Information theory,,MMT&TT,CSN,,,,IT001,3,0
655,NT105,Truyền dữ liệu,Data communications,,MMT&TT,CSN,,,,IT005,3,1
656,NT106,Lập trình mạng căn bản,Basic network programming,,MMT&TT,CSN,,,,IT005IT001,2,1
657,NT107,Xử lý tín hiệu trong truyển thông,Signal Processing for Communications,,MMT&TT,CN,,NT332,,,3,1
658,NT108,Mạng truyền thông và di động,Communication and mobile networks,,MMT&TT,CN,,NT132,,,3,0
659,NT109,Lập trình ứng dụng mạng,Network-application programming,,MMT&TT,CSN,,,,IT004NT106,2,1
660,NT110,Tín hiệu và mạch,Signals and circuits,,MMT&TT,CN,,PH001,,IT002,3,0
661,NT111,Thiết bị mạng và truyền thông ĐPT,Network appliances and multimedia communications,,MMT&TT,CNTC,,,,IT005,3,1
662,NT112,Công nghệ mạng viễn thông,Communications technology,,MMT&TT,CN,,NT402,,IT005,2,1
663,NT113,Thiết kế Mạng,Network design,,MMT&TT,CSN,,,,NT132,2,1
664,NT114,Đồ án chuyên ngành,Specialized project,,MMT&TT,ĐA,,,,,0,2
665,NT115,Thực tập doanh nghiệp,Internship,,MMT&TT,TTTN,,NT215,,,3,0
666,NT116,Kỹ năng mềm,Soft skills,,MMT&TT,CN,,SS004,,,0,2
667,NT117,Đồ án môn học Lập trình ứng dụng Mạng,Network-based application programming project,,MMT&TT,ĐA,NT202,,,,0,2
668,NT118,Phát triển ứng dụng trên thiết bị di động,Mobile application development,,MMT&TT,CSN,NT305,,,IT002,2,1
669,NT119,Mật mã học,Cryptography,,MMT&TT,CSN,,NT219,,MA001MA002,3,1
670,NT121,Thiết bị mạng và truyền thông ĐPT,Network appliances and multimedia communications,,MMT&TT,CĐTN,,NT111,,,2,1
671,NT130,Cơ chế hoạt động của mã độc,Malware modus operandi,,MMT&TT,CSN,,NT230,,IT007NT101,3,1
672,NT131,Hệ thống nhúng Mạng không dây,Wireless Embedded Network Systems,,MMT&TT,CSN,,,,IT007,3,1
673,NT132,Quản trị mạng và hệ thống,Networks and Systems Administration,,MMT&TT,CSN,,,,IT005,3,1
674,NT133,An toàn kiến trúc hệ thống,System Architecture Security,,MMT&TT,CN,,,,IT006IT007,2,1
675,NT137,Kỹ thuật phân tích mã độc,Malware analysis techniques,,MMT&TT,CN,,,,,2,1
676,NT140,An toàn mạng,Network security,,MMT&TT,CN,,,,IT005,3,1
677,NT201,Phân tích thiết kế hệ thống truyền thông và mạng,System analysis and design,,MMT&TT,CNTC,,NT532,,,3,0
678,NT202,Đồ án môn Lập trình ứng dụng mạng,Project on Nerwork-Application Programming,,MMT&TT,ĐA,,NT117,,,0,2
679,NT203,Đồ án chuyên ngành,Specialized Project,,MMT&TT,ĐA,,NT114,,,0,2
680,NT204,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập",Intrusion detection and prevention system,,MMT&TT,CN,NT321,,,,2,1
681,NT205,Tấn công mạng,Network offences,,MMT&TT,CNTC,,,,NT101,2,1
682,NT206,Quản trị hệ thống mạng,Computer network administration,,MMT&TT,CN,"NT301,NT006",NT531,,IT005,2,1
683,NT207,Quản lý rủi ro và an toàn thông tin trong doanh nghiệp,Risk management and information security in enterprise,,MMT&TT,CN,,,,NT101,2,1
684,NT208,Lập trình ứng dụng Web,Web-Based Application Development,,MMT&TT,CNTC,,NT507NT307NT533,,IT002IT004,2,1
685,NT209,Lập trình hệ thống,Computer System programming,,MMT&TT,CSN,,,,IT006IT001,2,1
686,NT210,Thương mại Điện tử và Triển khai ứng dụng,E-commerce and applications,,MMT&TT,CĐTN,NT502,,,IT005NT106,2,1
687,NT211,"An ninh nhân sự, định danh và chứng thực","Identification, authentication and privacy security (personal information protection)",,MMT&TT,CNTC,,,,,2,1
688,NT212,"An toàn dữ liệu, khôi phục thông tin sau sự cố",Data integrity and disaster recovery,,MMT&TT,CNTC,,,,NT101IT004,2,1
689,NT213,Bảo mật web và ứng dụng,Web and application security,,MMT&TT,CN,,,,NT208,2,1
690,NT215,Thực tập doanh nghiệp,Internship,,MMT&TT,TTTN,,,,,2,0
691,NT216,Bảo mật hệ thống dữ liệu,Data System Security,,MMT&TT,CNTC,,,,,2,1
692,NT219,Mật mã học,Cryptography,,MMT&TT,CN,,NT119,,,2,1
693,NT230,Cơ chế hoạt động của mã độc,Malware modus operandi,,MMT&TT,CSN,,NT130,,IT007NT101,2,1
694,NT301,Quản trị hệ thống mạng,Computer network administration,,MMT&TT,CN,,NT206NT531,,,2,1
695,NT302,Xây dựng chuẩn chính sách an toàn thông tin trong doanh nghiệp,Enterprise information security policy,,MMT&TT,CN,,NT331,,,2,1
696,NT303,Công nghệ thoại IP,VoIP technology,,MMT&TT,CN,,NT536,,NT105,2,1
697,NT304,Ứng dụng truyền thông và an ninh thông tin,Applications of communications and information security,,MMT&TT,CN,,,,,2,1
698,NT305,Phát triển ứng dụng trên  thiết bị di động,Mobile Application Development,,MMT&TT,CN,,NT118,,,2,1
699,NT306,Kỹ thuật lập trình mạng trên Linux,Network programming techniques on Linux,,MMT&TT,CN,,,,,3,0
700,NT307,Xây dựng ứng dụng web,Web application development,,MMT&TT,CN,,NT208NT533,,,2,1
701,NT309,Lập trình trên Linux,Programming on Linux,,MMT&TT,CN,,,,,2,1
702,NT310,Pháp chứng mạng di động,Digital forensics,,MMT&TT,CNTC,,,,NT101,2,1
703,NT311,Công nghệ tường lửa và bảo vệ mạng ngoại vi,Firewall technology and perimeter protection,,MMT&TT,CNTC,,,,NT101,2,1
704,NT312,Bảo mật với smartcard và NFC,Smart card and NFC security,,MMT&TT,CNTC,,,,NT101,2,1
705,NT320,Công nghệ vệ tinh,Satelite technology,,MMT&TT,CN,,,,,3,0
706,NT321,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập",Intrusion Detection and Prevention System,,MMT&TT,CN,,NT204,,,2,1
707,NT330,An toàn mạng không dây và di động,Wireless network and mobile security,,MMT&TT,CN,,NT108,,NT101,2,1
708,NT331,Xây dựng chuẩn chính sách an toàn thông tin trong doanh nghiệp,Enterprise information security policy,,MMT&TT,CN,NT302,,,IT005NT101,2,1
709,NT332,Xử lý tín hiệu trong truyền thông,Signal processing in communications,,MMT&TT,CĐTN,NT107,,,IT005,3,1
710,NT333,Tính toán lưới,Net computing,,MMT&TT,CNTC,NT403,,,IT005NT106,2,1
711,NT334,Pháp chứng kỹ thuật số,Digital forensics,,MMT&TT,CN,,,,,2,1
712,NT395,Phát triển ứng dụng trên thiết bị di động,Mobile application development,,MMT&TT,CN,,,,,2,1
713,NT401,An toàn mạng nâng cao,Advanced network security,,MMT&TT,CN,,,,,2,1
714,NT402,Công nghệ mạng viễn thông,Communications technology,,MMT&TT,CN,NT112,NT404,,NT105,2,1
715,NT403,Tính toán lưới,Net Computing,,MMT&TT,CN,,NT333,,,2,1
716,NT404,Khóa luận tốt nghiệp,Thesis,,MMT&TT,KLTN,,,,,10,0
717,NT405,Bảo mật Internet,Cyber Security,,MMT&TT,CĐTN,NT503,,,NT101IT005,2,1
718,NT406,Đồ án tốt nghiệp,Graduation Project,,MMT&TT,CĐTN,NT504,,,,4,0
719,NT407,Pháp chứng kỹ thuật số,Digital Forensics,,MMT&TT,CN,,NT334,,,2,1
720,NT408,Bảo mật trên Internet,Cyber security,,MMT&TT,CN,,,,,3,1
721,NT501,Thực tập doanh nghiệp,Internship,,MMT&TT,TTTN,,NT115,,,3,0
722,NT502,Thương mại Điện tử và Triển khai ứng dụng,E-commerce and applications,,MMT&TT,CĐTN,,NT210,,IT005NT101NT109,2,1
723,NT503,Bảo mật Internet,Cyber security,,MMT&TT,CĐTN,,NT405,,IT005NT101,2,1
724,NT504,Tiểu luận tốt nghiệp,Graduation project,,MMT&TT,CĐTN,NT406,NT406,,NT114NT117,4,0
725,NT505,Khóa luận tốt nghiệp,Thesis,,MMT&TT,KLTN,,,,,10,0
726,NT507,Xây dựng ứng dụng web,Web application development,,MMT&TT,CĐTN,,NT208,,,2,1
